id,name,country,website,contact
PUB001,Penguin Random House,USA,https://penguin.com,info@penguin.com
PUB002,diegos House,USA,https://diegospro.com,info@penguin.com
Gallimard,Gallimard,France,1911,info@gallimard.fr
1d953964-8e85-41bd-ba85-f3e3fe54e8bb,HarperCollins,USA,https://harpercollins.com,info@harpercollins.com
Prentice Hall,Prentice Hall,United States,1913,contact@pearson.com
Addison-Wesley,Addison-Wesley,United States,1942,info@aw.com
e62e0287-9c8d-49ae-b75a-c7ebf1a622b7,HarperCollins,USA,https://harpercollins.com,info@harpercollins.com
Bantam Books,Bantam Books,United States,1945,info@bantam.com
44997f0f-82c4-45d1-80ac-dbb52d059406,HarperCollins,USA,https://harpercollins.com,info@harpercollins.com
Sudamericana Publishing,Sudamericana Publishing,Argentina,1938,info@sudamericana.com
Secker & Warburg,Secker & Warburg,United Kingdom,1935,contact@penguin.co.uk
a1df2867-226f-4f88-9eed-6567a291f54e,HarperCollins,USA,https://harpercollins.com,info@harpercollins.com
c10a62c3-68c9-4472-9f40-ee7d6eb2915e,HarperCollins,USA,https://harpercollins.com,info@harpercollins.com
327eba48-f8b6-4ca5-b187-256237048279,HarperCollins,USA,https://harpercollins.com,info@harpercollins.com
